Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
200259,-62.5625,179.625,-39.25,-3.047363,1.100098,1.853516,-0.1772461,0.06542969,-0.1860352
200260,-72.375,157.625,-23.5625,-2.731934,1.197266,1.749512,-0.1762695,0.06396484,-0.1914063
200262,-119.375,-11.375,50.5625,-1.563965,3.032715,2.751465,-0.1762695,0.06396484,-0.1914063
200263,-239.5625,-40.8125,102.125,-0.1660156,1.810547,1.969238,-0.1723633,0.06933594,-0.1904297
200265,-264.125,-95.375,157.6875,2.36084,-0.4399414,0.6079102,-0.1708984,0.07714844,-0.1889648
200266,-158.5,-100.75,113.5,4.615234,-1.813965,-4.033203,-0.1708984,0.07714844,-0.1889648
200268,108,83.125,82.1875,7.94873,-6.913086,-7.800293,-0.1733398,0.08398438,-0.1860352
200269,227.75,786.8125,-74.0625,7.94873,-4.114746,-3.374023,-0.1708984,0.08154297,-0.1860352
200271,174.9375,1224.5,-147.125,4.774902,0.1030273,-1.25,-0.1708984,0.08154297,-0.1860352
200272,105.25,1061.25,-155.875,-6.127441,0.4018555,0.8125,-0.1503906,0.07617188,-0.2080078
200274,63.75,696.6875,-108.9375,-7.996582,0.08740234,4.640625,-0.1254883,0.06933594,-0.2246094
200275,48.6875,309.1875,-52.125,-7.996582,1.480469,6.121094,-0.1254883,0.06933594,-0.2246094
200277,33.0625,170.9375,-12.9375,-3.604004,1.212891,5.304199,-0.112793,0.06689453,-0.2353516
200278,41.4375,154.1875,-20.4375,-0.4736328,-0.04394531,3.457031,-0.1074219,0.06396484,-0.2353516
200280,67,198.5,-36.9375,1.103027,-0.6923828,2.208008,-0.1074219,0.06396484,-0.2353516
200282,70,255.9375,-48.4375,1.671387,-0.009277344,2.23877,-0.1049805,0.06542969,-0.2338867
200284,54.875,297.8125,-59,1.04834,0.2426758,2.500977,-0.09814453,0.06005859,-0.2382813
200285,63.375,289.8125,-54.0625,0.199707,0.2075195,2.543457,-0.09814453,0.06005859,-0.2382813
200287,74.9375,261.375,-45.8125,-0.4033203,0.28125,2.335449,-0.09033203,0.06005859,-0.2421875
200288,76.5625,232.5625,-42.125,-0.6489258,0.3510742,1.741699,-0.08251953,0.05712891,-0.2436523
200290,71.9375,212.75,-40.5625,-0.5981445,0.2583008,1.229004,-0.08251953,0.05712891,-0.2436523
200291,67.625,200.3125,-42.625,-0.3759766,0.1069336,0.9472656,-0.07910156,0.0546875,-0.2480469
200293,66.625,196.5,-47,-0.08007813,0.03320313,0.8896484,-0.07128906,0.05224609,-0.2490234
200294,73.9375,187.0625,-35.1875,0.3984375,-0.2768555,0.847168,-0.07128906,0.05224609,-0.2490234
200296,115.4375,199.3125,75.5625,2.734375,1.189453,2.500977,-0.06738281,0.05224609,-0.2490234
200297,42.875,347.4375,32.75,3.19043,2.951172,3.696289,-0.05957031,0.046875,-0.2519531
200299,-6.1875,393.5,-40.3125,0.3203125,1.212891,2.894531,-0.05957031,0.046875,-0.2519531
200300,-7.6875,321.8125,-31.125,-2.576172,0.3046875,1.402344,-0.05273438,0.046875,-0.2573242
200302,-20.4375,218.625,-6.875,-2.634766,0.3588867,1.333008,-0.04248047,0.046875,-0.2573242
200303,-34,162.5625,-3.875,-1.084961,0.5683594,1.741699,-0.04248047,0.046875,-0.2573242
200305,-27.9375,167.5,-20.0625,0.2036133,0.02929688,1.922852,-0.03613281,0.04931641,-0.2587891
200306,-13.875,178.0625,-23.6875,0.2583008,-0.3198242,1.105469,-0.03222656,0.046875,-0.2587891
200308,-7.9375,183.0625,-24.25,0.152832,-0.1176758,0.7431641,-0.03222656,0.046875,-0.2587891
200309,-9.1875,191.3125,-26.625,0.2231445,0.2617188,0.8046875,-0.02587891,0.04541016,-0.2587891
200311,-19.5,203.0625,-35.0625,0.1958008,0.5566406,0.9741211,-0.02050781,0.04931641,-0.2558594
200312,-29.5625,206.375,-42.5625,-0.1347656,0.5800781,0.9243164,-0.02050781,0.04931641,-0.2558594
200314,-41.0625,194.0625,-47.5,-0.4853516,0.4599609,0.9589844,-0.01660156,0.04931641,-0.2602539
200315,-49.1875,173.75,-48.5,-0.6450195,0.4365234,1.097656,-0.01123047,0.05078125,-0.2617188
200317,-57,151.375,-48.0625,-0.6953125,0.4443359,1.209473,-0.01123047,0.05078125,-0.2617188
200318,-62.4375,129.75,-46.5,-0.6914063,0.3901367,1.221191,-0.006347656,0.05224609,-0.2617188
200320,-66.6875,108.3125,-42.625,-0.6450195,0.3164063,1.170898,-0.004882813,0.05224609,-0.2617188
200321,-68.0625,94.75,-38.8125,-0.4892578,0.2734375,1.236328,-0.004882813,0.05224609,-0.2617188
200323,-67.1875,82.0625,-35.9375,-0.4697266,0.2192383,1.244141,0,0.05224609,-0.2587891
200324,-64,68.375,-30.6875,-0.5473633,0.1650391,1.302246,0,0.05712891,-0.2573242
200326,-60,51.6875,-25.6875,-0.559082,0.1298828,1.352051,0,0.05712891,-0.2573242
200327,-52.8125,37.8125,-21.3125,-0.4619141,0.02929688,1.34082,0,0.05859375,-0.2573242
200329,-46.375,27.6875,-18,-0.2983398,-0.02880859,1.182617,0.003417969,0.06005859,-0.2558594
200330,-40.75,25.4375,-15.5625,-0.1582031,0.03662109,1.124512,0.003417969,0.06005859,-0.2558594
200332,-36.75,25.6875,-14.375,-0.1308594,0.06396484,1.105469,0.002441406,0.0625,-0.2558594
200333,-32.1875,23.8125,-12.5625,-0.1738281,0.04833984,1.124512,0.006347656,0.06152344,-0.2587891
200335,-25.9375,20.5,-11.3125,-0.2319336,0.01367188,1.20166,0.006347656,0.06152344,-0.2587891
